APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Kopargaon,Wheat(Husked),2015,2015-12,1615,Rabi Crops,1525.0,218,14
Khamgaon,Wheat(Husked),2015,2015-02,1442,Rabi Crops,1525.0,218,16
Shevgaon,Pigeon Pea (Tur),2015,2015-02,4950,Kharif Crops,4425.0,218,5
Amalner,Sorgum(Jawar),2014,2014-09,1452,Kharif Crops,1550.0,218,16
Sinner,Bajri,2015,2015-08,1441,Kharif Crops,1275.0,218,16
Shahada,Wheat(Husked),2016,2016-06,1837,Rabi Crops,,218,12
Jafrabad,Maize,2015,2015-11,1298,Kharif Crops,1325.0,218,18
Gangapur,Sorgum(Jawar),2015,2015-12,1611,Kharif Crops,1590.0,218,14
Satana,Wheat(Husked),2015,2015-07,1547,Rabi Crops,1525.0,218,14
Shevgaon-Bodhegaon,Pigeon Pea (Tur),2016,2016-01,8535,Kharif Crops,4625.0,218,3
Dhamangaon-Rly,Wheat(Husked),2015,2015-03,1286,Rabi Crops,1525.0,218,17
Sangali,Bajri,2016,2016-11,1734,Kharif Crops,1330.0,218,13
Chopda,Wheat(Husked),2015,2015-05,1363,Rabi Crops,1525.0,218,17
Lasalgaon-Vinchur,Maize,2015,2015-05,1224,Kharif Crops,1325.0,218,19
Mohol,Wheat(Husked),2016,2016-08,1900,Rabi Crops,,218,12
Kalamb (Os),Pigeon Pea (Tur),2016,2016-10,5647,Kharif Crops,4625.0,218,4
Shirur,Sorgum(Jawar),2016,2016-04,1719,Kharif Crops,1650.0,218,13
Shahada,Wheat(Husked),2015,2015-02,1574,Rabi Crops,1525.0,218,14
Jalgaon Jamod-Aasalgaon,Wheat(Husked),2015,2015-10,1433,Rabi Crops,1525.0,217,16
Barshi,Wheat(Husked),2016,2016-02,1758,Rabi Crops,,217,13
Kille Dharur,Pigeon Pea (Tur),2016,2016-09,5234,Kharif Crops,4625.0,217,5
Narkhed,Cotton,2016,2016-04,4623,Kharif Crops,3860.0,217,5
Malkapur,Bajri,2015,2015-11,1380,Kharif Crops,1275.0,217,17
Jalna,Maize,2014,2014-10,1004,Kharif Crops,1310.0,217,22
Mahagaon,Cotton,2016,2016-01,4550,Kharif Crops,3860.0,217,5
Jamkhed,Bajri,2016,2016-01,1536,Kharif Crops,1330.0,217,15
Khamgaon,Wheat(Husked),2015,2015-08,1510,Rabi Crops,1525.0,217,15
Shirpur,Bajri,2015,2015-03,1211,Kharif Crops,1275.0,217,19
Ghansawangi,Bajri,2016,2016-10,1317,Kharif Crops,1330.0,217,17
Shegaon,Sorgum(Jawar),2015,2015-05,1127,Kharif Crops,1590.0,217,20
Kopargaon,Wheat(Husked),2016,2016-01,1629,Rabi Crops,,217,14
Sillod-Bharadi,Bajri,2014,2014-11,1183,Kharif Crops,1250.0,217,18
Chalisgaon,Sunflower,2015,2015-01,2867,Kharif Crops,3800.0,217,8
Raver,Wheat(Husked),2015,2015-01,1566,Rabi Crops,1525.0,217,14
Shirpur,Sorgum(Jawar),2016,2016-01,1514,Kharif Crops,1650.0,217,15
Sakri,Bajri,2016,2016-08,1480,Kharif Crops,1330.0,217,15
Shevgaon-Bodhegaon,Sorgum(Jawar),2014,2014-12,1694,Kharif Crops,1550.0,217,13
Washim,Sorgum(Jawar),2015,2015-12,1312,Kharif Crops,1590.0,217,17
Ghansawangi,Bajri,2016,2016-06,1667,Kharif Crops,1330.0,217,13
Lasalgaon,Sorgum(Jawar),2015,2015-07,1404,Kharif Crops,1590.0,217,15
Nagbhid,Paddyunhusked,2016,2016-01,1886,Kharif Crops,1470.0,217,13
Shrirampur,Bajri,2015,2015-04,1326,Kharif Crops,1275.0,217,17
Jafrabad,Wheat(Husked),2014,2014-11,1408,Rabi Crops,1450.0,217,16
Umared,Mustard,2015,2015-05,3455,Rabi Crops,3350.0,217,7
Amalner,Sorgum(Jawar),2015,2015-06,1436,Kharif Crops,1590.0,217,17
Akola,Sorgum(Jawar),2015,2015-07,1254,Kharif Crops,1590.0,217,18
Mangrulpeer,Sorgum(Jawar),2016,2016-02,1377,Kharif Crops,1650.0,217,17
Buldhana,Maize,2016,2016-03,1217,Kharif Crops,1365.0,217,18
